mois_absolu,annee,mois,capital_investi_cumule,capital,interets_cumules_estimes
1,1,1,1100.0,1104.58,4.579999999999927
2,1,2,1200.0,1209.6,9.599999999999909
3,1,3,1300.0,1315.06,15.059999999999945
4,1,4,1400.0,1420.96,20.960000000000036
5,1,5,1500.0,1527.29,27.289999999999964
6,1,6,1600.0,1634.07,34.069999999999936
7,1,7,1700.0,1741.3,41.299999999999955
8,1,8,1800.0,1848.97,48.97000000000003
9,1,9,1900.0,1957.09,57.08999999999992
10,1,10,2000.0,2065.66,65.65999999999985
11,1,11,2100.0,2174.69,74.69000000000005
12,1,12,2200.0,2284.16,84.15999999999985
13,2,1,2300.0,2394.1,94.09999999999991
14,2,2,2400.0,2504.49,104.48999999999978
15,2,3,2500.0,2615.34,115.34000000000015
16,2,4,2600.0,2726.66,126.65999999999985
17,2,5,2700.0,2838.43,138.42999999999984
18,2,6,2800.0,2950.68,150.67999999999984
19,2,7,2900.0,3063.39,163.38999999999987
20,2,8,3000.0,3176.57,176.57000000000016
21,2,9,3100.0,3290.22,190.2199999999998
22,2,10,3200.0,3404.35,204.3499999999999
23,2,11,3300.0,3518.95,218.94999999999982
24,2,12,3400.0,3634.03,234.0300000000002
25,3,1,3500.0,3749.59,249.59000000000015
26,3,2,3600.0,3865.63,265.6300000000001
27,3,3,3700.0,3982.15,282.1500000000001
28,3,4,3800.0,4099.16,299.15999999999985
29,3,5,3900.0,4216.65,316.64999999999964
30,3,6,4000.0,4334.64,334.6400000000003
31,3,7,4100.0,4453.12,353.1199999999999
32,3,8,4200.0,4572.09,372.09000000000015
33,3,9,4300.0,4691.56,391.5600000000004
34,3,10,4400.0,4811.52,411.52000000000044
35,3,11,4500.0,4931.99,431.9899999999998
36,3,12,4600.0,5052.95,452.9499999999998
37,4,1,4700.0,5174.42,474.4200000000001
38,4,2,4800.0,5296.4,496.39999999999964
39,4,3,4900.0,5418.89,518.8900000000003
40,4,4,5000.0,5541.88,541.8800000000001
41,4,5,5100.0,5665.39,565.3900000000003
42,4,6,5200.0,5789.41,589.4099999999999
43,4,7,5300.0,5913.95,613.9499999999998
44,4,8,5400.0,6039.01,639.0100000000002
45,4,9,5500.0,6164.59,664.5900000000001
46,4,10,5600.0,6290.69,690.6899999999996
47,4,11,5700.0,6417.32,717.3199999999997
48,4,12,5800.0,6544.47,744.4700000000003
49,5,1,5900.0,6672.16,772.1599999999999
50,5,2,6000.0,6800.38,800.3800000000001
51,5,3,6100.0,6929.13,829.1300000000001
